I_INDEX,C2,DEVICE,VALUE,C5,C6,C7,TIME,C9,C10,C11,C12,C13,C14,C15
195763718,NULL,sensor.sie_l3_power_gratuit_w,1,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1005598,0,01GFYKDPDCJQEABRTB26DH8WYT,NULL,NULL
195763719,NULL,sensor.sie_l3_energy_gratuit_wh,330471.64,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1005643,0,01GFYKDPETKFGMX8BESSNT02C0,NULL,NULL
195763720,NULL,sensor.ow_th_ext_sud_uptime,202787,NULL,NULL,NULL,2022-10-22 01:02:55,NULL,NULL,887486,0,01GFYKDQZ7T6YZDT38PR5274PP,NULL,NULL
195763721,NULL,sensor.th3_uptime,61598,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,1451146,0,01GFYKDRE6AB6HMD6D0RM32ENY,NULL,NULL
195763722,NULL,sensor.energy_meter_1_a0,2.07,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,995390,0,01GFYKDRY2456A6BAC48Y3PRD2,NULL,NULL
195763723,NULL,sensor.l3_lumieres_1er_ssol_courant_consomme,1.98,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,997937,0,01GFYKDRY2456A6BAC48Y3PRD2,NULL,NULL
195763724,NULL,sensor.l3_lumieres_1er_ssol_eval_power_consomme,465,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,1005628,0,01GFYKDRY2456A6BAC48Y3PRD2,NULL,NULL
195763725,NULL,sensor.th11_bat_capacity,47,NULL,NULL,NULL,2022-10-22 01:02:57,NULL,NULL,1527712,0,01GFYKDSWWDX2QZVWD6HP2GH4K,NULL,NULL
195763726,NULL,sensor.th2_humidite,88.6,NULL,NULL,NULL,2022-10-22 01:02:58,NULL,NULL,1451117,0,01GFYKDTAC05PM2P76GZNX2ZBZ,NULL,NULL
195763727,NULL,sensor.th10_humidite,59.4,NULL,NULL,NULL,2022-10-22 01:02:58,NULL,NULL,1527675,0,01GFYKDTNVZAHNBT5R6FE40FZ6,NULL,NULL
195763728,NULL,sensor.sonoff_10013bff51_voltage,236.31,NULL,NULL,NULL,2022-10-22 01:02:58,NULL,NULL,1231807,0,01GFYKDTXR7E63DSKHXH9PS78G,NULL,NULL
195763729,NULL,sensor.co2_72_signal_wi_fi,-27,NULL,NULL,NULL,2022-10-22 01:02:59,NULL,NULL,144,0,01GFYKDV0FVN6KC5A8B11HX9TR,NULL,NULL
195763730,NULL,sensor.co2_72_signal_wi_fi_2,-27,NULL,NULL,NULL,2022-10-22 01:02:59,NULL,NULL,439,0,01GFYKDV0XW79DB3X99YPVSRYY,NULL,NULL
195763731,NULL,sensor.date_time_utc,"2022-10-22, 01:03",NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447376,0,01GFYKDWD1FJMP7ZE8C026S7H3,NULL,NULL
195763732,NULL,sensor.time,03:03,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447373,0,01GFYKDWD24WMWHGD5W93WYMMT,NULL,NULL
195763733,NULL,sensor.date_time_iso,2022-10-22 03:03:00,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447377,0,01GFYKDWD37TG4E7W98H0CB9S0,NULL,NULL
195763734,NULL,sensor.date_time,"2022-10-22, 03:03",NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447375,0,01GFYKDWD4V4VNBBAA8W8THDFE,NULL,NULL
195763735,NULL,sensor.time_utc,01:03,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447379,0,01GFYKDWD5T34H7ZWYYWBQW979,NULL,NULL
195763736,NULL,sensor.time_date,"03:03, 2022-10-22",NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,447378,0,01GFYKDWD5X6HAG3244JBH41EB,NULL,NULL
195763737,NULL,sensor.solar_pv_jardin_instant_power_w,2,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,56,0,01GFYKDWD24WMWHGD5W93WYMMT,NULL,NULL
195763738,NULL,sensor.solar_pv_jardin_instant2_power_w,2,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,86,0,01GFYKDWE1HTW033HRT5D3ECR8,NULL,NULL
195763739,NULL,sensor.solar_pv_jardin_energy_w,965588.246,NULL,NULL,NULL,2022-10-22 01:03:00,NULL,NULL,81,0,01GFYKDWE9X7ACNNAPC961GVNA,NULL,NULL
195763742,NULL,sensor.maison_l3_power_w,2441,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,75,0,01GFYKDPDCJQEABRTB26DH8WYT,NULL,NULL
195763743,NULL,sensor.maison_l3_energy_w,1203982.212,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,998714,0,01GFYKDPEF80T46G9W8TBDPFBH,NULL,NULL
195763744,NULL,sensor.maison_power_w,2458,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1001146,0,01GFYKDPDCJQEABRTB26DH8WYT,NULL,NULL
195763745,NULL,sensor.th11_bat_voltage,3.738,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1527713,0,01GFYKDPEWSK1Y25A06SC41NQ0,NULL,NULL
195763746,NULL,sensor.maison_energy_w,1585504.27,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1001215,0,01GFYKDPF38TPMJJF157WB5VEY,NULL,NULL
195763747,NULL,sensor.sonoff_10013bff51_current,0.49,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1231805,0,01GFYKDQ0GGW5ZQDZPG4XJH6G8,NULL,NULL
195763748,NULL,sensor.sonoff_10013bff51_power,66.72,NULL,NULL,NULL,2022-10-22 01:02:54,NULL,NULL,1231806,0,01GFYKDQ0HXV2VGXPCPBACVMRR,NULL,NULL
195763749,NULL,sensor.l3_maison_eval_power_consomme,2801,NULL,NULL,NULL,2022-10-22 01:02:56,NULL,NULL,1005633,0,01GFYKDRY2456A6BAC48Y3PRD2,NULL,NULL
